url,inIndexNowIntended,bingLastCrawled,bingDiscoveryDate,bingIsPage,bingDocumentSize,gscCoverage,gscVerdict,gap
https://ccamilocristian.github.io/posts/introduction-pyautogui-be/,N,2026-09-08T07:52:52+00:00,2023-05-03T07:00:00+00:00,True,41710,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/posts/mcp-bigquery-server-python-english/,N,2026-09-06T13:20:44+00:00,2026-07-19T07:00:00+00:00,True,64058,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/posts/local-rag-ollama-python-english/,N,2026-08-15T15:23:02+00:00,2026-08-01T07:00:00+00:00,True,83712,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/posts/automatizacion-envio-correos/,Y,2026-09-16T19:04:08+00:00,2021-03-28T07:00:00+00:00,True,45148,Excluded by ‘noindex’ tag,NEUTRAL,bing_known_gsc_stale_noindex
https://ccamilocristian.github.io/posts/scraping-plebiscito-colombia/,N,2026-09-03T11:38:02+00:00,2021-03-28T07:00:00+00:00,True,69009,Crawled - currently not indexed,NEUTRAL,bing_known_gsc_crawled_not_indexed
https://ccamilocristian.github.io/posts/optimizacion_teoria_consumidor/,N,2026-08-30T00:46:42+00:00,2021-03-28T07:00:00+00:00,True,54747,Excluded by ‘noindex’ tag,NEUTRAL,bing_known_gsc_stale_noindex
https://ccamilocristian.github.io/posts/reproductor-musica/,Y,2026-09-16T19:04:15+00:00,2021-03-28T07:00:00+00:00,True,70184,Excluded by ‘noindex’ tag,NEUTRAL,bing_known_gsc_stale_noindex
https://ccamilocristian.github.io/posts/icfes-conexion-api/,N,2026-09-13T10:09:23+00:00,2021-03-28T07:00:00+00:00,True,31899,Excluded by ‘noindex’ tag,NEUTRAL,bing_known_gsc_stale_noindex
https://ccamilocristian.github.io/posts/liquidador-intereses/,N,2026-09-14T03:37:08+00:00,2021-04-20T07:00:00+00:00,True,48164,Excluded by ‘noindex’ tag,NEUTRAL,bing_known_gsc_stale_noindex
https://ccamilocristian.github.io/posts/ministerio-salud/,N,2026-08-30T05:14:39+00:00,2021-04-20T07:00:00+00:00,True,34025,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/posts/convertidor-IPC/,Y,2026-08-15T17:06:37+00:00,2021-04-27T07:00:00+00:00,True,41405,Excluded by ‘noindex’ tag,NEUTRAL,bing_known_gsc_stale_noindex
https://ccamilocristian.github.io/posts/step-colombia/,N,2026-07-29T13:08:43+00:00,2021-05-04T07:00:00+00:00,True,35754,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
